gpt_cq_loc_s,gpt_cq_loc_m,gpt_cq_loc_h,gemini_cq_loc_s,gemini_cq_loc_m,gemini_cq_loc_h,copilot_cq_loc_s,copilot_cq_loc_m,copilot_cq_loc_h,codellama_cq_loc_s,codellama_cq_loc_m,codellama_cq_loc_h
0.2040816326530612,0.0875,0.05,0.1489361702127659,0.0485436893203883,0.0439560439560439,0.05,0.05,0.0495049504950495,0.1343283582089552,0.0114942528735632,0.0
0.3214285714285714,0.04,0.0684931506849315,0.3214285714285714,0.0384615384615384,0.0,0.0416666666666666,0.0,0.0,0.074074074074074,0.0476190476190476,0.0
0.0869565217391304,0.0,0.0909090909090909,0.1,0.0,0.3,0.25,0.0,0.0,0.2857142857142857,0.125,0.2666666666666666
0.04,0.0204081632653061,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0666666666666666,0.1034482758620689,0.0,0.125,0.4545454545454545,0.0
0.0,0.0,0.03125,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0581395348837209,0.05,0.125,0.04,0.0,0.0,0.0,0.0454545454545454,0.0,0.0
0.75,0.2,0.0697674418604651,0.5714285714285714,0.5454545454545454,0.0454545454545454,1.0,0.6363636363636364,0.6363636363636364,0.7142857142857143,1.3333333333333333,0.4666666666666667
0.0,0.0,0.0,0.0714285714285714,0.0,0.0689655172413793,0.3333333333333333,0.3,0.0454545454545454,0.0769230769230769,0.0,0.2
0.0952380952380952,0.0434782608695652,0.03125,0.3333333333333333,0.0,0.1739130434782608,0.1052631578947368,0.1,0.0,0.0555555555555555,0.125,0.5714285714285714
0.0,0.1379310344827586,0.0652173913043478,0.0555555555555555,0.0625,0.0434782608695652,0.0,0.0,0.0344827586206896,0.0476190476190476,0.0666666666666666,0.0
0.027027027027027,0.0178571428571428,0.1020408163265306,0.1428571428571428,0.0333333333333333,0.0,0.0526315789473684,0.0277777777777777,0.0,0.0769230769230769,0.0454545454545454,0.0
0.0952380952380952,0.0,0.0,0.1363636363636363,0.0909090909090909,0.0769230769230769,0.08,0.0,0.0434782608695652,0.1153846153846153,0.1111111111111111,0.3076923076923077
0.2857142857142857,0.0,0.0,0.2941176470588235,0.2777777777777778,0.3333333333333333,0.4117647058823529,0.2941176470588235,0.1481481481481481,0.1333333333333333,0.0,0.2307692307692307
0.0303030303030303,0.1515151515151515,0.0571428571428571,0.7,0.3571428571428571,0.5333333333333333,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.3,0.3333333333333333,0.1818181818181818
0.1363636363636363,0.21875,0.0294117647058823,0.0555555555555555,0.0952380952380952,0.074074074074074,0.0,0.1111111111111111,0.0952380952380952,0.1666666666666666,0.0,0.25
0.0555555555555555,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.2142857142857142
0.1071428571428571,0.1142857142857142,0.064516129032258,0.2,0.2,0.1764705882352941,0.04,0.075,0.0909090909090909,0.2222222222222222,0.2307692307692307,0.0
0.0454545454545454,0.1481481481481481,0.073170731707317,0.1666666666666666,0.1666666666666666,0.2142857142857142,0.05,0.04,0.024390243902439,0.2142857142857142,0.0714285714285714,0.3333333333333333
0.25,0.217391304347826,0.0434782608695652,0.3571428571428571,0.25,0.2777777777777778,0.3333333333333333,0.3714285714285714,0.3157894736842105,0.2790697674418604,0.2558139534883721,0.032258064516129
0.0,0.0,0.08,0.125,0.0666666666666666,0.1176470588235294,0.0909090909090909,0.04,0.074074074074074,0.0,0.3333333333333333,0.0909090909090909
0.0,0.0909090909090909,0.0652173913043478,0.375,0.0666666666666666,0.0434782608695652,0.25,0.0,0.1538461538461538,0.0,0.0,0.0833333333333333
0.0,0.0625,0.0,0.1481481481481481,0.1851851851851851,0.1034482758620689,0.0,0.1578947368421052,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.1111111111111111,0.1,0.1
0.0588235294117647,0.0,0.2777777777777778,0.2631578947368421,0.0416666666666666,0.0,0.0666666666666666,0.0454545454545454,0.0869565217391304,0.3529411764705882,0.0909090909090909,0.0
0.0,0.0625,0.2222222222222222,0.1428571428571428,0.0,0.1666666666666666,0.125,0.0,0.0,0.0,0.0,0.0
0.2352941176470588,0.125,0.1538461538461538,0.0476190476190476,0.3,0.15,0.1666666666666666,0.1304347826086956,0.0526315789473684,0.1111111111111111,0.1666666666666666,0.0
0.0869565217391304,0.08,0.0,0.238095238095238,0.1904761904761904,0.125,0.1111111111111111,0.0833333333333333,0.0434782608695652,0.1,0.0,0.0
0.24,0.1081081081081081,0.0512820512820512,0.36,0.1379310344827586,0.1666666666666666,0.24,0.1923076923076923,0.1818181818181818,0.2222222222222222,0.1333333333333333,0.3684210526315789
0.037037037037037,0.064516129032258,0.0,0.1,0.0714285714285714,0.1,0.1578947368421052,0.0357142857142857,0.037037037037037,0.0,0.1176470588235294,0.0
0.0476190476190476,0.1052631578947368,0.0384615384615384,0.0476190476190476,0.3809523809523809,0.0416666666666666,0.0476190476190476,0.0526315789473684,0.0256410256410256,0.125,0.0625,0.125
0.0454545454545454,0.0625,0.0454545454545454,0.08,0.1212121212121212,0.0,0.0909090909090909,0.1290322580645161,0.0434782608695652,0.1702127659574468,0.0277777777777777,0.0
0.0149253731343283,0.0392156862745098,0.0,0.05,0.0454545454545454,0.0344827586206896,0.0512820512820512,0.0,0.04,0.0666666666666666,0.0238095238095238,0.0108695652173913
0.0833333333333333,0.0,0.0555555555555555,0.0833333333333333,0.032258064516129,0.0833333333333333,0.0588235294117647,0.0588235294117647,0.0571428571428571,0.6363636363636364,0.6470588235294118,0.12
0.1,0.0,0.0689655172413793,0.0588235294117647,0.0454545454545454,0.0,0.1666666666666666,0.1,0.0,0.2,0.1,0.1666666666666666
0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0294117647058823,0.0294117647058823,0.027027027027027,0.032258064516129,0.032258064516129,0.0
0.1290322580645161,0.0,0.1052631578947368,0.1333333333333333,0.1739130434782608,0.0625,0.1153846153846153,0.0,0.081081081081081,0.0625,0.0,0.1081081081081081
0.0425531914893617,0.0416666666666666,0.0289855072463768,0.0666666666666666,0.0256410256410256,0.037037037037037,0.4444444444444444,0.0277777777777777,0.05,0.5135135135135135,0.34,0.0714285714285714
0.0555555555555555,0.0256410256410256,0.0256410256410256,0.075,0.0,0.0,0.081081081081081,0.027027027027027,0.0,0.125,0.0833333333333333,0.0952380952380952
0.0285714285714285,0.0,0.0,0.0571428571428571,0.027027027027027,0.0408163265306122,0.0263157894736842,0.0566037735849056,0.0,0.0754716981132075,0.06,0.0
0.0689655172413793,0.04,0.0416666666666666,0.12,0.1379310344827586,0.0689655172413793,0.0344827586206896,0.0833333333333333,0.0357142857142857,0.1111111111111111,0.28,0.1428571428571428
